candidate,slice,bucket_lo,bucket_hi,rows,avg_pred_home_prob,actual_home_win_rate,home_calibration_gap
bounded_anchor_v1,all_games,0.8,0.9,2386,0.845212363986937,0.9291701592623638,-0.0839577952754268
bounded_anchor_v1,all_games,0.9,1.0,3534,0.9626600815707435,0.978494623655914,-0.015834542085170544
reduced_context_v1,ncaa_tournament_neutral,0.3,0.4,2,0.38256458938121796,0.5,-0.11743541061878204
reduced_context_v1,ncaa_tournament_neutral,0.4,0.45,7,0.4253038763999939,0.14285714285714285,0.28244673354285105
reduced_context_v1,ncaa_tournament_neutral,0.45,0.55,107,0.5127867644078263,0.514018691588785,-0.0012319271809586585
reduced_context_v1,ncaa_tournament_neutral,0.55,0.6,95,0.5741884683307849,0.7157894736842105,-0.14160100535342568
reduced_context_v1,ncaa_tournament_neutral,0.6,0.7,91,0.6409260886056083,0.8021978021978022,-0.16127171359219394
reduced_context_v1,ncaa_tournament_neutral,0.7,0.8,33,0.7378739010203968,0.9696969696969697,-0.23182306867657287
reduced_context_v1,conference_tournament_neutral,0.1,0.2,1,0.15545685589313507,1.0,-0.8445431441068649
reduced_context_v1,conference_tournament_neutral,0.2,0.3,4,0.2585659809410572,0.5,-0.2414340190589428
reduced_context_v1,conference_tournament_neutral,0.3,0.4,26,0.36804225123845613,0.38461538461538464,-0.016573133376928506
reduced_context_v1,conference_tournament_neutral,0.4,0.45,48,0.4305413290858269,0.4166666666666667,0.013874662419160189
reduced_context_v1,conference_tournament_neutral,0.45,0.55,386,0.5140403577083134,0.4430051813471503,0.07103517636116308
reduced_context_v1,conference_tournament_neutral,0.55,0.6,446,0.574097713146509,0.7331838565022422,-0.15908614335573312
reduced_context_v1,conference_tournament_neutral,0.6,0.7,425,0.6400345047782449,0.8258823529411765,-0.18584784816293165
reduced_context_v1,conference_tournament_neutral,0.7,0.8,44,0.7200478383085944,0.9772727272727273,-0.25722488896413287
reduced_context_v1,all_neutral,0.0,0.1,7,0.08937897426741463,0.0,0.08937897426741463
reduced_context_v1,all_neutral,0.1,0.2,23,0.15549655323443207,0.21739130434782608,-0.061894751113394014
reduced_context_v1,all_neutral,0.2,0.3,74,0.25940834187172557,0.20270270270270271,0.05670563916902285
reduced_context_v1,all_neutral,0.3,0.4,323,0.3633163803871202,0.25077399380804954,0.11254238657907067
reduced_context_v1,all_neutral,0.4,0.45,416,0.42721408283194673,0.3557692307692308,0.07144485206271595
reduced_context_v1,all_neutral,0.45,0.55,1547,0.5079723509882216,0.5287653522947641,-0.02079300130654249
reduced_context_v1,all_neutral,0.55,0.6,877,0.5735539159182133,0.7172177879133409,-0.14366387199512765
reduced_context_v1,all_neutral,0.6,0.7,700,0.638324943951198,0.8185714285714286,-0.18024648462023063
reduced_context_v1,all_neutral,0.7,0.8,108,0.7301611569192674,0.9444444444444444,-0.214283287525177
reduced_context_v1,all_neutral,0.8,0.9,4,0.8614281713962555,1.0,-0.1385718286037445
reduced_context_v1,all_games,0.0,0.1,45,0.08270870405766699,0.06666666666666667,0.016042037391000324
reduced_context_v1,all_games,0.1,0.2,570,0.16169427221542912,0.11929824561403508,0.042396026601394035
reduced_context_v1,all_games,0.2,0.3,1402,0.2532825277913654,0.21398002853067047,0.03930249926069493
reduced_context_v1,all_games,0.3,0.4,2197,0.35425735515630075,0.28903049613108783,0.06522685902521291
reduced_context_v1,all_games,0.4,0.45,1609,0.4258500427063242,0.3617153511497825,0.06413469155654172
reduced_context_v1,all_games,0.45,0.55,5512,0.5049444102670008,0.49764150943396224,0.007302900833038528
reduced_context_v1,all_games,0.55,0.6,3439,0.5752908554525007,0.6112241930793836,-0.03593333762688289
reduced_context_v1,all_games,0.6,0.7,6894,0.6502391451298066,0.6887148244850595,-0.03847567935525287
reduced_context_v1,all_games,0.7,0.8,5059,0.7465480612563296,0.8033208143901956,-0.056772753133866094
reduced_context_v1,all_games,0.8,0.9,4034,0.8487100141823853,0.8837382250867625,-0.03502821090437713
reduced_context_v1,all_games,0.9,1.0,5796,0.9663478944262939,0.9611801242236024,0.005167770202691435
shape_penalized_v1,ncaa_tournament_neutral,0.2,0.3,1,0.24388670921325684,1.0,-0.7561132907867432
shape_penalized_v1,ncaa_tournament_neutral,0.3,0.4,17,0.3711732117568745,0.23529411764705882,0.1358790941098157
shape_penalized_v1,ncaa_tournament_neutral,0.4,0.45,14,0.4232992338282721,0.35714285714285715,0.06615637668541496
shape_penalized_v1,ncaa_tournament_neutral,0.45,0.55,120,0.5141575875381629,0.5916666666666667,-0.0775090791285038
shape_penalized_v1,ncaa_tournament_neutral,0.55,0.6,80,0.5759652577340603,0.75,-0.17403474226593973
shape_penalized_v1,ncaa_tournament_neutral,0.6,0.7,75,0.6424167609214783,0.8266666666666667,-0.1842499057451884
shape_penalized_v1,ncaa_tournament_neutral,0.7,0.8,28,0.730516757283892,0.9642857142857143,-0.23376895700182232
shape_penalized_v1,conference_tournament_neutral,0.0,0.1,1,0.09290243685245514,1.0,-0.9070975631475449
shape_penalized_v1,conference_tournament_neutral,0.1,0.2,4,0.17095894366502762,0.5,-0.3290410563349724
shape_penalized_v1,conference_tournament_neutral,0.2,0.3,5,0.27098848223686217,0.2,0.07098848223686216
shape_penalized_v1,conference_tournament_neutral,0.3,0.4,26,0.3679678715192355,0.4230769230769231,-0.05510905155768758
shape_penalized_v1,conference_tournament_neutral,0.4,0.45,20,0.43217069655656815,0.35,0.08217069655656817
shape_penalized_v1,conference_tournament_neutral,0.45,0.55,122,0.5022359546579298,0.3770491803278688,0.12518677433006098
shape_penalized_v1,conference_tournament_neutral,0.55,0.6,109,0.578794137600365,0.42201834862385323,0.1567757889765118
shape_penalized_v1,conference_tournament_neutral,0.6,0.7,821,0.6529440783263705,0.6881851400730816,-0.035241061746711155
shape_penalized_v1,conference_tournament_neutral,0.7,0.8,272,0.727993955506998,0.9044117647058824,-0.1764178091988844
shape_penalized_v1,all_neutral,0.0,0.1,28,0.060929944938314815,0.17857142857142858,-0.11764148363311376
shape_penalized_v1,all_neutral,0.1,0.2,58,0.15895076327282806,0.2413793103448276,-0.08242854707199954
shape_penalized_v1,all_neutral,0.2,0.3,127,0.25732125740820966,0.18110236220472442,0.07621889520348524
