candidate,slice,context,rows,avg_favored_prob,favored_win_rate,favored_gap_actual,avg_market_favored_prob,favored_gap_market
tapered_context_75_v1,all_games,moderate_favorite_band,11310,0.7172594913239504,0.7661361626878869,-0.048876671363936475,0.7378891791182871,-0.020638739156557562
bounded_anchor_v1,ncaa_tournament_neutral,close_game_prob_band,115,0.5233497813991879,0.5304347826086957,-0.007085001209507835,0.6671557248364227,-0.14381995731312502
bounded_anchor_v1,ncaa_tournament_neutral,moderate_favorite_band,77,0.6985009595171198,0.8441558441558441,-0.14565488463872434,0.7997152920799584,-0.10063395039295675
bounded_anchor_v1,conference_tournament_neutral,favorite_tail_80,5,0.8345877170562744,0.4,0.4345877170562744,0.576395407648947,0.2581923094073274
bounded_anchor_v1,conference_tournament_neutral,close_game_prob_band,483,0.5255379947692957,0.5445134575569358,-0.018975462787640063,0.6352341454819002,-0.10969778868739088
bounded_anchor_v1,conference_tournament_neutral,moderate_favorite_band,197,0.6887821610355135,0.7868020304568528,-0.09801986942133933,0.7511087618672249,-0.06235393622933416
bounded_anchor_v1,all_neutral,favorite_tail_80,80,0.8565724567975849,0.8375,0.019072456797584847,0.7753227438701608,0.07167002211183893
bounded_anchor_v1,all_neutral,heavy_favorite_90,11,0.9252653111788359,0.9090909090909091,0.016174402087926865,0.8489113759103206,0.06058377848537888
bounded_anchor_v1,all_neutral,close_game_prob_band,1242,0.5254232973916135,0.5104669887278583,0.014956308663755191,0.6460203003054974,-0.12069519946122786
bounded_anchor_v1,all_neutral,moderate_favorite_band,894,0.7027107643534406,0.7348993288590604,-0.0321885645056198,0.722929642351698,-0.0203521561847273
bounded_anchor_v1,all_games,favorite_tail_80,6279,0.9108225675230052,0.9542920847268673,-0.04346951720386216,0.8814253229395662,-0.01971251714634259
bounded_anchor_v1,all_games,heavy_favorite_90,3546,0.962528501358356,0.9782853919909758,-0.015756890632619758,0.8903807631943274,0.04918478279686178
bounded_anchor_v1,all_games,close_game_prob_band,7730,0.5248041871641154,0.5380336351875808,-0.013229448023465484,0.6254794216121505,-0.10065729166315718
bounded_anchor_v1,all_games,moderate_favorite_band,9688,0.7142057132335806,0.8204995871180842,-0.10629387388450362,0.7844328339441815,-0.07084977604582121
